"Ticker","Nome","Negócios","Última (R$)","Variação"
"CLSC3","Celesc","200","75,00","+1,35%"
"CRPG6","Tronox Pigmentos","200","26,00","+0,08%"
"CGAS3","Comgás","100","131,50","+3,54%"
"PATI4","Panatlântica","100","33,00","+4,76%"
"CTKA4","Karsten","100","19,00","-2,01%"
"BMIN4","Banco Mercantil de Investimentos","100","16,05","-2,13%"
"AFLT3","Afluente T","100","7,58","+3,98%"
"DTCY3","Dtcom","100","4,10","+0,00%"
"CEDO4","Cedro Têxtil","3.200","26,50","+13,73%"
"IGTI4","Iguatemi","2.600","9,18","+0,33%"
"IGTI4","Jereissati Participações","2.600","9,18","+0,33%"
"DASA11","DASA11","1.100","1,03","-0,96%"
"BRKM6","Braskem","300","11,03","-16,31%"
"HBTS5","Habitasul","200","30,99","+6,83%"
"MRSA5B","MRS Logística","200","28,00","+0,00%"
"MRSA6B","MRS Logística","200","28,00","+0,00%"
"ESTR4","Estrela","200","3,41","-5,28%"
"BGIP3","Banese","100","25,06","-1,73%"
"PINE11","Banco Pine","100","7,35","+0,00%"
"BMKS3","Monark","9","308,10","+0,03%"
"GSHP3","General Shopping & Outlets","1.600","7,50","-7,06%"
"GEPA3","Rio Paranapanema Energia","100","29,50","+4,24%"
"BMIN3","Banco Mercantil de Investimentos","100","21,98","+7,22%"
"FESA3","Ferbasa","100","12,25","+2,00%"
"ENMT3","Energisa MT","300","79,97","-5,92%"
"BAUH4","Excelsior","200","78,89","-0,01%"
"AHEB3","São Paulo Turismo","100","38,00","+0,00%"
"BALM3","Baumer","400","13,40","+3,80%"
"AESB3","AES Brasil","1.671.100","8,11","-1,10%"
"PEAB4","Participações Aliança da Bahia","900","49,50","+10,00%"
"ENMT4","Energisa MT","600","84,91","-0,04%"
"TEKA3","Teka","400","42,50","+0,00%"
"MOAR3","Monteiro Aranha","100","400,00","+0,12%"
"RPAD3","Alfa Holdings","3.700","7,94","-17,03%"
"RPAD6","Alfa Holdings","1.900","7,02","-22,17%"
"WLMM3","WLM","1.500","27,00","+0,04%"
"MAPT4","Cemepe","1.800","5,00","+0,00%"
"CEEB5","COELBA","600","35,70","+0,00%"
"DOHL3","Döhler","200","8,00","-19,92%"
